City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Nara,JP,89.49,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
9,Hilo,US,85.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Coxim,BR,75.31,few clouds,-18.5067,-54.76,Rancho Da Curica
17,Lorengau,PG,82.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
21,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN
25,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
26,Natal,BR,75.0,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
27,Buloh Kasap,MY,76.68,broken clouds,2.5536,102.764,Teratak Ixora Segamat
28,Victoria,HK,89.96,overcast clouds,22.2855,114.1577,Mini Central
29,Bethel,US,82.15,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
33,Preobrazheniye,RU,75.04,overcast clouds,42.9019,133.9064,Campsite Orlan
40,Tonk,IN,80.29,overcast clouds,26.1667,75.7833,Hotel sheetal Resort & Midway Restaurant
55,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
56,Porto Novo,BJ,76.08,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
58,Atuona,PF,76.5,light rain,-9.8,-139.0333,Villa Enata
59,Broome,US,76.08,clear sky,42.2506,-75.833,Chenango Valley State Park
61,Gigmoto,PH,83.39,light rain,13.7796,124.39,Cj's Travellers Inn
65,Shimoda,JP,89.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
68,Jamestown,US,76.95,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
73,Suruc,TR,85.01,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
76,Shellbrook,CA,76.91,clear sky,53.2168,-106.4011,Shellbrook Hotel
78,Katsuura,JP,83.62,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
79,Butaritari,KI,81.86,broken clouds,3.0707,172.7902,Isles Sunset Lodge
82,Olutanga,PH,83.21,light rain,7.3106,122.8464,Morales Lodge
85,Kapaa,US,87.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Kumano,JP,85.12,clear sky,34.3442,132.5894,ホテル コラソン
91,Evanston,US,79.05,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
92,Touros,BR,75.63,few clouds,-5.1989,-35.4608,INN NEW HORIZON
100,Dromolaxia,CY,83.98,clear sky,34.8761,33.586,Sea N Lake View Hotel Apartments
102,Tual,ID,78.42,broken clouds,-5.6667,132.75,Grand Vilia Hotel
110,Kashi,CN,87.19,broken clouds,39.4547,75.9797,帕米尔青年旅舍
111,Alexandria,EG,79.86,clear sky,31.2156,29.9553,Royal Crown Hotel
112,Bandiagara,ML,78.35,light rain,14.3501,-3.6104,Hotel de la Falaise
115,Half Moon Bay,US,77.86,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
116,Cabo San Lucas,MX,93.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
120,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
123,Havelock,US,85.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
127,Hadejia,NG,76.84,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
136,Sao Filipe,CV,79.41,few clouds,14.8961,-24.4956,Hotel Xaguate
138,Jiangyou,CN,77.92,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
139,Thompson,CA,77.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
143,Tateyama,JP,85.1,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
145,Sumter,US,89.2,broken clouds,28.7086,-82.0831,Paradise Oaks RV Resort
154,Hun,LY,83.1,clear sky,29.1268,15.9477,Alrwasi Hotel
156,Sola,VU,79.9,broken clouds,-13.8833,167.55,Leumerus Bungalows
157,High Level,CA,77.11,light intensity shower rain,58.5169,-117.136,Days Inn by Wyndham High Level
158,Tevaitoa,PF,79.11,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
160,High Rock,BS,83.95,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
168,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
170,Mecca,SA,90.0,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
174,Aksu,CN,81.3,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
178,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
180,Polis,CY,75.02,clear sky,35.0367,32.4264,Marion
182,Hithadhoo,MV,81.41,overcast clouds,-0.6,73.0833,Scoop Guest House
185,Axim,GH,75.33,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
187,Pochutla,MX,84.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
188,Port Blair,IN,81.21,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
189,Faanui,PF,79.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
194,Hami,CN,87.33,overcast clouds,42.8,93.45,Laoyutang Resort
195,Hasaki,JP,86.4,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
199,Tabas,IR,90.79,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
203,Terney,RU,77.11,overcast clouds,45.0503,136.6092,"Hotel ""Ternay"""
206,Kirakira,SB,82.31,broken clouds,-10.4544,161.9205,SanBiz Lodge
208,Jining,CN,79.0,clear sky,35.405,116.5814,Yunhe Star Hotel
219,Mocajuba,BR,79.86,broken clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
221,Esmeralda,CU,78.78,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
224,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
227,Kieta,PG,81.57,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
228,Dingle,PH,82.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
229,Alofi,NU,76.91,scattered clouds,-19.0595,-169.9187,Taloa Heights
233,Bac Lieu,VN,81.88,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
236,Honiara,SB,86.58,scattered clouds,-9.4333,159.95,Heritage Park Hotel
239,Guerrero Negro,MX,75.13,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
240,Urumqi,CN,76.15,light rain,43.801,87.6005,Hua Ling Grand Hotel Urumqi
241,Tarrafal,CV,83.19,clear sky,15.2833,-23.7667,Hotel Ixola
247,Bengkulu,ID,75.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
249,Humaita,BR,78.28,clear sky,-7.5061,-63.0208,Corrêa Hotel
252,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
259,Samarinda,ID,76.44,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
262,Buala,SB,84.56,light rain,-8.145,159.5921,Maringe Lagoon Lodge
265,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Green leaf
273,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
274,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
277,Gushikawa,JP,87.03,few clouds,26.3544,127.8686,Kirari Guest House
279,Aracati,BR,79.34,broken clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
281,Jeremie,HT,80.28,broken clouds,18.65,-74.1167,Auberge’Inn
284,Hutchinson,US,83.52,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
287,Tambo Grande,PE,78.28,clear sky,-4.9269,-80.3447,Hostal Nuevo Primavera
288,Farafenni,GM,78.69,broken clouds,13.5667,-15.6,Eddy's Hotel
289,San Lorenzo De El Escorial,ES,78.98,clear sky,40.5914,-4.1474,Hotel Florida - San Lorenzo de El Escorial
291,Sabang,ID,80.38,overcast clouds,5.8933,95.3214,Hotel Citra
292,Jaguey Grande,CU,83.52,clear sky,22.5269,-81.1286,Barberia hendrix
294,Bardiyah,LY,77.16,clear sky,31.7561,25.0865,بورتو بردية
296,San Patricio,US,92.12,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
298,Sanming,CN,82.29,broken clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
301,Mogadishu,SO,75.54,light rain,2.0371,45.3438,Hotel Juba
304,Cusuna,HN,80.51,broken clouds,15.85,-85.2333,San Francisco de la paz
311,Elizabeth City,US,91.42,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
312,Ayia Marina,GR,82.98,clear sky,37.75,23.5333,Argo Spa Hotel
314,Santa Isabel Do Rio Negro,BR,79.02,scattered clouds,-0.4139,-65.0192,Hotel GSA
321,Rurrenabaque,BO,76.39,few clouds,-14.4413,-67.5278,Casa de Campo
322,Marigot,MF,82.74,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
323,Tazmalt,DZ,80.67,clear sky,36.3868,4.3989,Hôtel Numédia
324,Albertville,US,89.49,scattered clouds,34.2676,-86.2089,Microtel Inn & Suites by Wyndham Albertville
326,Puerto Escondido,MX,82.15,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
331,Kavieng,PG,84.51,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
336,Tikapur,NP,78.84,overcast clouds,28.5,81.1333,BANANA AGRO RESORT
337,Banjar,ID,78.39,overcast clouds,-8.19,114.9675,The Hamsa Resort
338,North Bend,US,81.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
339,Labuhan,ID,77.27,overcast clouds,-6.8844,112.2051,DoubleFAG
342,Araceli,PH,83.07,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
344,Camocim,BR,76.78,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
347,Palu,ID,79.83,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
349,Khanpur,PK,84.94,overcast clouds,28.6453,70.6567,Ahmad Bartan store
351,Ailigandi,PA,76.8,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
352,Jalu,LY,85.33,clear sky,29.0331,21.5482,صاحبة الفخامة
356,Zhanakorgan,KZ,77.23,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
359,Belle Glade,US,85.05,broken clouds,26.6845,-80.6676,Mid-City Trailer Park
367,Erenhot,CN,82.0,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
369,Turan,VN,84.18,clear sky,16.0678,108.2208,Grand Mercure Danang
372,Karwar,IN,77.58,broken clouds,14.8,74.1333,Netalco Connects
373,West Bay,KY,83.07,scattered clouds,19.3667,-81.4167,Calypso Cove
375,Naze,JP,83.32,moderate rain,28.3667,129.4833,Shishime Hotel
376,Jacareacanga,BR,77.13,clear sky,-6.2222,-57.7528,Casa do Ian😎
380,Ararat,AM,79.14,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
381,Ambulu,ID,75.09,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
384,Graciano Sanchez,MX,92.35,scattered clouds,23.9167,-99.2833,Familia Martinez Martinez
385,Nishihara,JP,87.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
390,Pedregal,PA,77.09,broken clouds,8.3667,-82.4333,Hostal La Libertad
391,Khandyga,RU,79.75,scattered clouds,62.6667,135.6,Apel'sin
393,Jati,PK,80.46,broken clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
394,Marsh Harbour,BS,82.92,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
395,Virginia Beach,US,92.01,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
397,Morehead,US,80.78,broken clouds,37.2711,-87.1764,CCI Express Inn
401,Fare,PF,78.75,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
403,Aswan,EG,89.65,broken clouds,24.0934,32.907,Nuba Nile
406,Pacific Grove,US,81.25,scattered clouds,36.6177,-121.9166,Lovers Point Inn
408,La Palma Del Condado,ES,80.22,clear sky,37.3861,-6.5523,Tierra De Vinos
409,Itarema,BR,79.0,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
410,Biltine,TD,80.04,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
411,Medea,DZ,75.18,clear sky,36.2642,2.7539,Hôtel M'Sallah
412,Jiuquan,CN,79.41,scattered clouds,39.7432,98.5174,Jiuquan Hotel
414,Langxiang,CN,75.83,overcast clouds,46.95,128.8833,Pearl Hotel
