City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zyryanovsk,KZ,2022-07-20 21:59:08,49.7386,84.2719,59.83,54,100,2.21
1,Soroti,UG,2022-07-20 21:59:08,1.7146,33.6111,64.67,82,78,2.73
2,Quang Ngai,VN,2022-07-20 21:54:55,15.1167,108.8,75.0,90,55,5.73
3,Miramar,US,2022-07-20 21:59:08,25.9873,-80.2323,92.01,65,4,5.01
4,Yambio,SS,2022-07-20 21:59:09,4.5721,28.3955,66.69,94,46,2.04
5,Hobyo,SO,2022-07-20 21:59:09,5.3505,48.5268,75.29,80,31,25.41
6,Tasiilaq,GL,2022-07-20 21:59:10,65.6145,-37.6368,38.66,81,66,1.19
7,Mataura,NZ,2022-07-20 21:59:10,-46.1927,168.8643,40.48,88,100,2.84
8,Hasaki,JP,2022-07-20 21:58:34,35.7333,140.8333,79.29,79,99,7.49
9,Sur,OM,2022-07-20 21:55:34,22.5667,59.5289,83.57,77,86,15.01
10,Bathsheba,BB,2022-07-20 21:59:11,13.2167,-59.5167,84.81,94,40,16.11
11,Busselton,AU,2022-07-20 21:59:12,-33.65,115.3333,55.81,94,100,10.02
12,Faanui,PF,2022-07-20 21:59:12,-16.4833,-151.75,77.99,65,0,9.55
13,Kapaa,US,2022-07-20 21:59:12,22.0752,-159.319,82.38,74,14,5.99
14,Albany,US,2022-07-20 21:54:53,42.6001,-73.9662,94.03,49,47,4.0
15,Aginskoye,RU,2022-07-20 21:59:13,51.1,114.53,61.02,88,89,4.36
16,San Vicente,AR,2022-07-20 21:59:14,-26.6167,-54.1333,64.11,91,7,2.8
17,Muhos,FI,2022-07-20 21:59:14,64.808,25.9931,56.98,93,78,2.28
18,Rikitea,PF,2022-07-20 21:59:15,-23.1203,-134.9692,73.35,75,0,3.98
19,Bengkulu,ID,2022-07-20 21:59:15,-3.8004,102.2655,75.58,91,64,3.65
20,Ushuaia,AR,2022-07-20 21:58:30,-54.8,-68.3,31.66,86,100,21.85
21,Torbay,CA,2022-07-20 21:59:15,47.6666,-52.7314,67.39,78,75,18.41
22,Khatanga,RU,2022-07-20 21:59:16,71.9667,102.5,45.61,68,100,20.24
